Municipio, IDHM, IDHM-L, IDHM-E, IDHM-R
Sanharó,0.603,0.758,0.514,0.564
Santa Cruz,0.549,0.722,0.438,0.522
Santa Cruz da Baixa Verde,0.612,0.786,0.523,0.557
Santa Cruz do Capibaribe,0.648,0.806,0.506,0.667
Santa Filomena,0.533,0.752,0.406,0.496
Santa Maria da Boa Vista,0.59,0.773,0.472,0.564
Santa Maria do Cambucá,0.548,0.735,0.393,0.571
Santa Terezinha,0.593,0.737,0.524,0.54
São Benedito do Sul,0.53,0.736,0.406,0.499
São Bento do Una,0.593,0.789,0.446,0.593
São Caitano,0.591,0.756,0.469,0.583
São João,0.57,0.768,0.426,0.565
São Joaquim do Monte,0.537,0.741,0.381,0.549
São José da Coroa Grande,0.608,0.736,0.522,0.585
São José do Belmonte,0.61,0.769,0.52,0.569
São José do Egito,0.635,0.769,0.554,0.602
São Lourenço da Mata,0.653,0.793,0.571,0.614
São Vicente Ferrer,0.549,0.715,0.414,0.558
Serra Talhada,0.661,0.8,0.571,0.632
Serrita,0.595,0.76,0.512,0.542
Sertânia,0.613,0.752,0.51,0.601
Sirinhaém,0.597,0.763,0.492,0.568
Moreilândia,0.6,0.768,0.54,0.522
Solidão,0.585,0.755,0.485,0.547
Surubim,0.635,0.756,0.548,0.617
Tabira,0.605,0.77,0.504,0.57
Tacaimbó,0.554,0.748,0.423,0.536
Tacaratu,0.573,0.711,0.507,0.521
Tamandaré,0.593,0.745,0.479,0.583
Taquaritinga do Norte,0.641,0.796,0.52,0.636
Terezinha,0.545,0.711,0.425,0.536
Terra Nova,0.599,0.741,0.533,0.545
Timbaúba,0.618,0.769,0.519,0.592
Toritama,0.618,0.797,0.452,0.655
Tracunhaém,0.605,0.776,0.504,0.567
Trindade,0.595,0.768,0.455,0.602
Triunfo,0.67,0.817,0.591,0.624
Tupanatinga,0.519,0.747,0.379,0.494
Tuparetama,0.634,0.749,0.557,0.612
Venturosa,0.592,0.751,0.484,0.57
Verdejante,0.605,0.76,0.52,0.56
Vertente do Lério,0.563,0.726,0.461,0.532
Vertentes,0.582,0.728,0.45,0.602
Vicência,0.605,0.754,0.534,0.551
Vitória de Santo Antão,0.64,0.768,0.543,0.629
Xexéu,0.552,0.703,0.436,0.549
